COUNTY_FIPS,naics,PRIMARY_NAICS_CODE_12,SECONDARY_NAICS_CODE_12,COUNTY,FACILITY_NAME,FACILITY_ID
1015,325194,325199,0,CALHOUN COUNTY,SOLUTIA INC ANNISTON PLANT,1000708
1023,322121,322110,0,CHOCTAW COUNTY,GEORGIA-PACIFIC CONSUMER PRODUCTS LP,1006962
1033,331315,331314,0,COLBERT,"WISE ALLOYS, LLC - Alabama Reclamation Plant",1003213
1071,322130,322121,0,JACKSON,"WestRock CP, LLC - Stevenson Mill",1008553
1071,327410,327420,0,JACKSON COUNTY,US GYPSUM - BRIDGEPORT PLANT,1002052
1093,326191,326113,0,MARION,3M CO - GUIN,1003739
1097,331491,331410,0,MOBILE COUNTY,MITSUBISHI POLYCRYSTALLINE SILICON AMERICAN CORPORATION,1002393
1113,322130,322121,0,Russell,"WestRock Coated Board, LLC",1000262
1125,336112,336111,0,TUSCALOOSA COUNTY,MERCEDES-BENZ US INTERNATIONAL INC,1004249
4025,327420,327410,0,YAVAPAI,LHOIST NORTH AMERICA,1006911
5003,322121,322110,0,ASHLEY,"GEORGIA-PACIFIC, LLC-CROSSETT",1007214
5027,325199,325180,0,COLUMBIA,ALBEMARLE CORPORATION-SOUTH PLANT,1004307
5069,322130,322121,0,JEFFERSON,EVERGREEN PACKAGING-PINE BLUFF,1003501
5069,322130,322121,0,JEFFERSON,"Mondi Bags USA, LLC",1003633
5125,327999,327910,0,SALINE COUNTY,ALMATIS INC - BAUXITE ARKANSAS,1004327
5131,327999,327992,0,SEBASTIAN COUNTY,SAINT GOBAIN PROPPANTS (FS),1004609
6037,324191,324199,0,LOS ANGELES COUNTY,DEMENNO KERDOON,1006861
6083,324191,324110,0,SANTA BARBARA COUNTY,Greka Refining Company,1011345
8059,327991,327992,0,JEFFERSON COUNTY,WESTERN AGGREGATES INCORPORATED,1004379
9011,322130,322121,0,NEW LONDON,RAND-WHITNEY CONTAINERBOARD LP,1003488
12033,322130,322121,322110,ESCAMBIA,International Paper - Pensacola Mill,1000196
13005,311612,311613,0,BACON COUNTY,American Proteins Inc./Alma Division,1011723
13021,339993,339999,0,BIBB,Armstrong World Industries Inc,1006883
13175,322130,322121,0,LAURENS,"SP Fiber Technologies Southeast, LLC",1000240
13245,322130,322121,322110,RICHMOND,International Paper - Augusta Mill,1006731
16069,322121,322110,322220,NEZ PERCE COUNTY,CLEARWATER PAPER CORP,1004705
17007,336111,336112,0,BOONE,FCA Belvidere Assembly Plant,1002357
17021,322110,322121,0,CHRISTIAN COUNTY,"Ahlstrom Filtration, LLC.",1011038
17041,325199,325193,0,Douglas,Equistar Tuscola Plant,1007110
17093,333111,333120,0,KENDALL,Caterpillar Inc,1003985
17141,325180,325193,0,OGLE,CHS-Rochelle,1004276
17161,311612,311611,0,ROCK ISLAND,TYSON FRESH MEATS INC,1000037
17163,324121,324191,0,ST. CLAIR COUNTY,AFTON CHEMICAL CORP,1003853
17197,325180,325194,0,Will,"Flint Hills Resources Joliet, LLC",1009505
18005,331511,331524,0,BARTHOLOMEW COUNTY,ENKEI AMERICA INC,1003141
18027,311615,311613,0,DAVIESS,Griffin Industries LLC,1011551
18067,334418,334413,0,HOWARD COUNTY,General Motors Components Holdings LLC,1010579
18095,311514,311511,0,MADISON,Nestle USA Inc. - Anderson,1006970
18097,325199,325194,0,MARION,Vertellus Agriculture & Nutrition Specialties LLC,1001155
18127,331222,331221,0,PORTER,US Steel - Midwest Plant,1001620
18157,325412,325411,0,TIPPECANOE,EVONIK CORPORATION TIPPECANOE LABORATORIES,1004833
18163,311514,311511,0,VANDERBURGH COUNTY,MEAD JOHNSON NUTRITION,1005447
18179,331313,331314,0,WELLS COUNTY,"Alexin, LLC",1010531
19061,325199,325193,0,DUBUQUE,BIG RIVER UNITED ENERGY LLC,1005626
19127,311611,311612,0,MARSHALL,JBS SWIFT,1006121
